basket_id,cust_id,time_id,store_id,std_quantity,nunique_products,n_products,sum_spend,cust_id,cust_price_sensitivity,cust_lifestage,basket_id,basket_size,basket_price_sensitivity,basket_type,basket_dominant_mission,store_id,store_format,store_region,time_id,shop_week,date_from,date_to,shop_date,shop_hour
994111700818612,CUST0000999786,11463,STORE01125,0,1,1,1.66,CUST0000999786,MM,OT,994111700818612,S,MM,"Small Shop",Fresh,STORE01125,MS,S02,11463,200819,20080630,20080706,20080705,8
994111300819473,CUST0000999786,11002,STORE01125,0,3,3,4.03,CUST0000999786,MM,OT,994111300819473,M,LA,"Small Shop",Fresh,STORE01125,MS,S02,11002,200815,20080602,20080608,20080608,15
994111300819474,CUST0000999786,11040,STORE01125,0,2,2,1.89,CUST0000999786,MM,OT,994111300819474,S,MM,"Small Shop",Mixed,STORE01125,MS,S02,11040,200815,20080602,20080608,20080607,18
994111200818180,CUST0000999786,10907,STORE02260,0,1,1,0.98,CUST0000999786,MM,OT,994111200818180,S,MM,"Small Shop",Fresh,STORE02260,MS,S03,10907,200814,20080526,20080601,20080526,17
994110900818241,CUST0000999786,10611,STORE00962,0,1,1,0.67,CUST0000999786,MM,OT,994110900818241,S,MM,"Small Shop",Nonfood,STORE00962,MS,S02,10611,200811,20080505,20080511,20080509,13
994110900818242,CUST0000999786,10653,STORE01125,1,2,4,5.51,CUST0000999786,MM,OT,994110900818242,M,MM,"Small Shop",Grocery,STORE01125,MS,S02,10653,200811,20080505,20080511,20080507,8
994110800817608,CUST0000999786,10540,STORE02260,0,3,3,1.95,CUST0000999786,MM,OT,994110800817608,M,LA,"Small Shop",Mixed,STORE02260,MS,S03,10540,200810,20080428,20080504,20080501,10
994110800817609,CUST0000999786,10584,STORE02260,1,2,4,2.43,CUST0000999786,MM,OT,994110800817609,M,MM,"Small Shop",Nonfood,STORE02260,MS,S03,10584,200810,20080428,20080504,20080428,10
994111100817748,CUST0000999786,10844,STORE02260,0,3,3,4.83,CUST0000999786,MM,OT,994111100817748,M,MM,"Small Shop",Fresh,STORE02260,MS,S03,10844,200813,20080519,20080525,20080519,17
994111100817749,CUST0000999786,10849,STORE01125,0.8660254037844387,4,6,3.63,CUST0000999786,MM,OT,994111100817749,M,MM,"Small Shop",Fresh,STORE01125,MS,S02,10849,200813,20080519,20080525,20080520,18
994111000819493,CUST0000999786,10732,STORE01392,0,4,4,4.24,CUST0000999786,MM,OT,994111000819493,M,MM,"Small Shop",Fresh,STORE01392,LS,N03,10732,200812,20080512,20080518,20080518,18
994111000819494,CUST0000999786,10693,STORE01125,0,2,2,4.28,CUST0000999786,MM,OT,994111000819494,S,UM,"Small Shop",Fresh,STORE01125,MS,S02,10693,200812,20080512,20080518,20080512,15
994109300775510,CUST0000999786,9049,STORE02260,0,1,1,0.65,CUST0000999786,MM,OT,994109300775510,S,MM,"Small Shop",Fresh,STORE02260,MS,S03,9049,200747,20080114,20080120,20080115,13
994109300775511,CUST0000999786,9025,STORE01125,0,3,3,5.97,CUST0000999786,MM,OT,994109300775511,M,LA,"Small Shop",Fresh,STORE01125,MS,S02,9025,200747,20080114,20080120,20080114,16
994109300775512,CUST0000999786,9096,STORE01125,0,1,3,3.90,CUST0000999786,MM,OT,994109300775512,M,MM,"Small Shop",Grocery,STORE01125,MS,S02,9096,200747,20080114,20080120,20080114,14
