basket_id,cust_id,time_id,store_id,std_quantity,nunique_products,n_products,sum_spend,cust_id,cust_price_sensitivity,cust_lifestage,basket_id,basket_size,basket_price_sensitivity,basket_type,basket_dominant_mission,store_id,store_format,store_region,time_id,shop_week,date_from,date_to,shop_date,shop_hour
994108900909577,CUST0000992313,8710,STORE02255,1,4,8,30.04,CUST0000992313,UM,OF,994108900909577,M,LA,"Small Shop",Fresh,STORE02255,MS,W02,8710,200743,20071217,20071223,20071222,11
994108900909578,CUST0000992313,8706,STORE01007,0.8660254037844388,20,30,98.19,CUST0000992313,UM,OF,994108900909578,L,MM,"Full Shop",Mixed,STORE01007,XLS,W01,8706,200743,20071217,20071223,20071221,17
994109300770768,CUST0000992313,9054,STORE01007,1.526623238522424,11,24,28.74,CUST0000992313,UM,OF,994109300770768,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,9054,200747,20080114,20080120,20080115,19
994109100718988,CUST0000992313,8865,STORE01007,0.5527707983925666,12,14,26.38,CUST0000992313,UM,OF,994109100718988,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,8865,200745,20071231,20080106,20080106,15
994108800814598,CUST0000992313,8614,STORE01007,1.2498520622516862,13,23,31.04,CUST0000992313,UM,OF,994108800814598,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,8614,200742,20071210,20071216,20071212,21
994109000582166,CUST0000992313,8778,STORE01007,2.099562636671296,7,15,10.19,CUST0000992313,UM,OF,994109000582166,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,8778,200744,20071224,20071230,20071227,16
994109000582167,CUST0000992313,8813,STORE01007,0.8660254037844387,4,6,30.34,CUST0000992313,UM,OF,994109000582167,M,UM,"Small Shop",Grocery,STORE01007,XLS,W01,8813,200744,20071224,20071230,20071229,18
994109000582168,CUST0000992313,8730,STORE01007,2.3141676475196102,11,23,44.43,CUST0000992313,UM,OF,994109000582168,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,8730,200744,20071224,20071230,20071225,15
994109400781079,CUST0000992313,9125,STORE01007,0.9165151389911681,10,16,29.55,CUST0000992313,UM,OF,994109400781079,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,9125,200748,20080121,20080127,20080124,16
994109400781080,CUST0000992313,9183,STORE01007,0.9797958971132712,5,9,15.66,CUST0000992313,UM,OF,994109400781080,M,UM,"Top Up",Fresh,STORE01007,XLS,W01,9183,200748,20080121,20080127,20080121,18
994109200777225,CUST0000992313,8919,STORE01007,3.543381937578217,6,20,34.87,CUST0000992313,UM,OF,994109200777225,L,UM,"Small Shop",Fresh,STORE01007,XLS,W01,8919,200746,20080107,20080113,20080107,15
994109200777226,CUST0000992313,8951,STORE01007,0,5,5,7.63,CUST0000992313,UM,OF,994109200777226,M,UM,"Top Up",Fresh,STORE01007,XLS,W01,8951,200746,20080107,20080113,20080110,13
994107500820697,CUST0000992313,7270,STORE01007,0.9428090415820634,6,10,23.89,CUST0000992313,UM,OF,994107500820697,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7270,200729,20070910,20070916,20070916,16
994107500820698,CUST0000992313,7278,STORE01007,0,1,1,0.98,CUST0000992313,UM,OF,994107500820698,S,MM,"Small Shop",Fresh,STORE01007,XLS,W01,7278,200729,20070910,20070916,20070916,17
994107500820699,CUST0000992313,7295,STORE01007,0.6614378277661477,8,10,10.54,CUST0000992313,UM,OF,994107500820699,L,UM,"Top Up",Mixed,STORE01007,XLS,W01,7295,200729,20070910,20070916,20070916,12
994108000800798,CUST0000992313,7832,STORE01007,1.4817407180595248,15,31,56.02,CUST0000992313,UM,OF,994108000800798,L,MM,"Full Shop",Fresh,STORE01007,XLS,W01,7832,200734,20071015,20071021,20071019,20
994108000800799,CUST0000992313,7769,STORE01007,2.1285234893930483,7,18,22.15,CUST0000992313,UM,OF,994108000800799,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7769,200734,20071015,20071021,20071016,16
994108100811834,CUST0000992313,7863,STORE01007,2.8284271247461903,3,9,2.12,CUST0000992313,UM,OF,994108100811834,M,MM,"Small Shop",Fresh,STORE01007,XLS,W01,7863,200735,20071022,20071028,20071024,21
994108100811835,CUST0000992313,7871,STORE01007,2.0190069065976193,12,29,37.93,CUST0000992313,UM,OF,994108100811835,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7871,200735,20071022,20071028,20071023,16
994107900804974,CUST0000992313,7723,STORE01007,0.9428090415820634,3,5,4.91,CUST0000992313,UM,OF,994107900804974,M,LA,"Small Shop",Mixed,STORE01007,XLS,W01,7723,200733,20071008,20071014,20071010,21
994107600790962,CUST0000992313,7437,STORE01007,0.8907235428302467,11,17,35.63,CUST0000992313,UM,OF,994107600790962,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7437,200730,20070917,20070923,20070918,20
994107600790963,CUST0000992313,7409,STORE01007,0.9035079029052513,7,11,21.18,CUST0000992313,UM,OF,994107600790963,L,LA,"Top Up",Fresh,STORE01007,XLS,W01,7409,200730,20070917,20070923,20070922,17
994107700821210,CUST0000992313,7459,STORE01007,1.224744871391589,8,20,17.54,CUST0000992313,UM,OF,994107700821210,L,MM,"Top Up",Mixed,STORE01007,XLS,W01,7459,200731,20070924,20070930,20070930,17
994107700821211,CUST0000992313,7525,STORE01007,0,7,7,10.05,CUST0000992313,UM,OF,994107700821211,M,UM,"Top Up",Fresh,STORE01007,XLS,W01,7525,200731,20070924,20070930,20070930,12
994107800814447,CUST0000992313,7548,STORE01007,0,4,4,11.85,CUST0000992313,UM,OF,994107800814447,M,LA,"Small Shop",Fresh,STORE01007,XLS,W01,7548,200732,20071001,20071007,20071003,15
994107800814448,CUST0000992313,7566,STORE01007,0.8907235428302467,11,17,49.94,CUST0000992313,UM,OF,994107800814448,L,MM,"Top Up",Mixed,STORE01007,XLS,W01,7566,200732,20071001,20071007,20071004,18
994107300821389,CUST0000992313,7131,STORE01007,1,8,16,23.70,CUST0000992313,UM,OF,994107300821389,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7131,200727,20070827,20070902,20070827,14
994107000816646,CUST0000992313,6858,STORE01007,1,4,8,7.30,CUST0000992313,UM,OF,994107000816646,M,UM,"Small Shop",Grocery,STORE01007,XLS,W01,6858,200724,20070806,20070812,20070808,19
994107000816647,CUST0000992313,6842,STORE01007,0.9428090415820634,9,15,21.67,CUST0000992313,UM,OF,994107000816647,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6842,200724,20070806,20070812,20070809,14
994107000816648,CUST0000992313,6829,STORE01007,2.23606797749979,20,40,63.30,CUST0000992313,UM,OF,994107000816648,L,MM,"Full Shop",Fresh,STORE01007,XLS,W01,6829,200724,20070806,20070812,20070807,12
994107200831677,CUST0000992313,6999,STORE01007,1.8111534492165473,17,36,64.85,CUST0000992313,UM,OF,994107200831677,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,6999,200726,20070820,20070826,20070820,16
994106800814976,CUST0000992313,6649,STORE01007,2.2878756522153907,8,19,29.02,CUST0000992313,UM,OF,994106800814976,L,LA,"Top Up",Fresh,STORE01007,XLS,W01,6649,200722,20070723,20070729,20070723,9
994107400825416,CUST0000992313,7163,STORE01007,2.747912008810192,7,20,20.00,CUST0000992313,UM,OF,994107400825416,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7163,200728,20070903,20070909,20070903,16
994107400825417,CUST0000992313,7169,STORE01007,1.733049395606616,17,30,58.45,CUST0000992313,UM,OF,994107400825417,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,7169,200728,20070903,20070909,20070909,16
994107100813611,CUST0000992313,6897,STORE01007,1.114924013354971,12,25,32.29,CUST0000992313,UM,OF,994107100813611,L,MM,"Full Shop",Fresh,STORE01007,XLS,W01,6897,200725,20070813,20070819,20070816,18
994106400824028,CUST0000992313,6200,STORE01007,1.1110243021644486,8,13,17.88,CUST0000992313,UM,OF,994106400824028,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6200,200718,20070625,20070701,20070629,19
994106400824029,CUST0000992313,6197,STORE01007,0.8314794192830981,9,13,38.22,CUST0000992313,UM,OF,994106400824029,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6197,200718,20070625,20070701,20070701,19
994106200825942,CUST0000992313,6044,STORE01007,1.4907119849998598,9,18,21.32,CUST0000992313,UM,OF,994106200825942,L,MM,"Top Up",Mixed,STORE01007,XLS,W01,6044,200716,20070611,20070617,20070617,17
994106200825943,CUST0000992313,6044,STORE01007,1.2,5,8,11.12,CUST0000992313,UM,OF,994106200825943,M,MM,"Top Up",Fresh,STORE01007,XLS,W01,6044,200716,20070611,20070617,20070617,17
994106700822355,CUST0000992313,6469,STORE01007,0,1,1,1.00,CUST0000992313,UM,OF,994106700822355,S,LA,"Small Shop",Fresh,STORE01007,XLS,W01,6469,200721,20070716,20070722,20070722,17
994106700822356,CUST0000992313,6542,STORE01007,2.1540659228538015,10,24,23.54,CUST0000992313,UM,OF,994106700822356,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6542,200721,20070716,20070722,20070722,16
994106700822357,CUST0000992313,6558,STORE01007,0,1,7,7.63,CUST0000992313,UM,OF,994106700822357,M,MM,"Small Shop",Nonfood,STORE01007,XLS,W01,6558,200721,20070716,20070722,20070716,18
994106300815454,CUST0000992313,6097,STORE01007,1.6006197146962735,11,19,51.58,CUST0000992313,UM,OF,994106300815454,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6097,200717,20070618,20070624,20070623,18
994106300815455,CUST0000992313,6121,STORE01007,0.8660254037844387,12,18,25.77,CUST0000992313,UM,OF,994106300815455,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,6121,200717,20070618,20070624,20070620,12
994106300815456,CUST0000992313,6149,STORE01007,0,1,1,2.23,CUST0000992313,UM,OF,994106300815456,S,UM,"Small Shop",Fresh,STORE01007,XLS,W01,6149,200717,20070618,20070624,20070621,15
994106500830346,CUST0000992313,6273,STORE01007,0.9428090415820634,3,5,6.46,CUST0000992313,UM,OF,994106500830346,M,UM,"Small Shop",Grocery,STORE01007,XLS,W01,6273,200719,20070702,20070708,20070703,12
994106500830347,CUST0000992313,6324,STORE01007,0,5,5,11.64,CUST0000992313,UM,OF,994106500830347,M,UM,"Top Up",Fresh,STORE01007,XLS,W01,6324,200719,20070702,20070708,20070705,17
994106500830348,CUST0000992313,6323,STORE01007,2.099562636671296,7,13,9.37,CUST0000992313,UM,OF,994106500830348,L,MM,"Small Shop",Fresh,STORE01007,XLS,W01,6323,200719,20070702,20070708,20070707,18
994111300814770,CUST0000992313,11007,STORE01007,1.733049395606616,17,30,58.45,CUST0000992313,UM,OF,994111300814770,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,11007,200815,20080602,20080608,20080605,16
994111300814771,CUST0000992313,10985,STORE01007,0.9165151389911681,10,16,24.52,CUST0000992313,UM,OF,994111300814771,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,10985,200815,20080602,20080608,20080608,21
994111500813065,CUST0000992313,11262,STORE01007,1.984313483298443,8,18,10.50,CUST0000992313,UM,OF,994111500813065,L,LA,"Top Up",Mixed,STORE01007,XLS,W01,11262,200817,20080616,20080622,20080621,17
994111500813066,CUST0000992313,11193,STORE01007,0.6614378277661477,8,10,26.80,CUST0000992313,UM,OF,994111500813066,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,11193,200817,20080616,20080622,20080622,11
994111500813067,CUST0000992313,11203,STORE01007,2.1538461538461537,13,29,22.92,CUST0000992313,UM,OF,994111500813067,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,11203,200817,20080616,20080622,20080617,14
994111500813068,CUST0000992313,11189,STORE01007,0.8314794192830981,9,13,16.21,CUST0000992313,UM,OF,994111500813068,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,11189,200817,20080616,20080622,20080621,14
994111100812886,CUST0000992313,10844,STORE01007,0.7994080650317895,13,16,23.51,CUST0000992313,UM,OF,994111100812886,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,10844,200813,20080519,20080525,20080519,17
994110900813389,CUST0000992313,10621,STORE01007,2.3141676475196102,11,23,44.43,CUST0000992313,UM,OF,994110900813389,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,10621,200811,20080505,20080511,20080508,15
994111000814704,CUST0000992313,10713,STORE00933,0,5,5,8.93,CUST0000992313,UM,OF,994111000814704,M,UM,"Small Shop",Fresh,STORE00933,XLS,N02,10713,200812,20080512,20080518,20080514,19
994110800812799,CUST0000992313,10526,STORE01007,1.1406305546861948,17,27,58.17,CUST0000992313,UM,OF,994110800812799,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,10526,200810,20080428,20080504,20080430,17
994110800812800,CUST0000992313,10512,STORE01007,0.9797958971132712,10,18,21.87,CUST0000992313,UM,OF,994110800812800,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,10512,200810,20080428,20080504,20080430,13
994110800812801,CUST0000992313,10564,STORE01007,1,8,16,23.70,CUST0000992313,UM,OF,994110800812801,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,10564,200810,20080428,20080504,20080502,14
994111600814101,CUST0000992313,11348,STORE01007,0.6998542122237652,7,9,18.30,CUST0000992313,UM,OF,994111600814101,M,UM,"Top Up",Fresh,STORE01007,XLS,W01,11348,200818,20080623,20080629,20080627,16
994111700813798,CUST0000992313,11457,STORE01007,2.8487814158961995,15,32,27.74,CUST0000992313,UM,OF,994111700813798,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,11457,200819,20080630,20080706,20080706,20
994111700813799,CUST0000992313,11455,STORE01007,0.9,10,13,10.31,CUST0000992313,UM,OF,994111700813799,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,11455,200819,20080630,20080706,20080703,15
994104900823793,CUST0000992313,4748,STORE01007,1.624807680927192,10,24,33.97,CUST0000992313,UM,OF,994104900823793,L,MM,"Top Up",Mixed,STORE01007,XLS,W01,4748,200703,20070312,20070318,20070312,17
994105100812398,CUST0000992313,4986,STORE01007,0.9682458365518543,8,14,22.54,CUST0000992313,UM,OF,994105100812398,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,4986,200705,20070326,20070401,20070401,20
994105100812399,CUST0000992313,4929,STORE01007,1.9861109430746038,17,38,43.70,CUST0000992313,UM,OF,994105100812399,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,4929,200705,20070326,20070401,20070326,18
994105100812400,CUST0000992313,4972,STORE01007,1,2,4,4.40,CUST0000992313,UM,OF,994105100812400,M,MM,"Small Shop",Fresh,STORE01007,XLS,W01,4972,200705,20070326,20070401,20070327,17
994105400814519,CUST0000992313,5222,STORE01007,2.3778816176702993,9,28,77.44,CUST0000992313,UM,OF,994105400814519,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,5222,200708,20070416,20070422,20070418,14
994105400814520,CUST0000992313,5281,STORE01007,1.3698697784375504,9,17,28.46,CUST0000992313,UM,OF,994105400814520,L,UM,"Top Up",Mixed,STORE01007,XLS,W01,5281,200708,20070416,20070422,20070419,21
994105300791656,CUST0000992313,5132,STORE01007,3.1964980838411274,25,67,243.62,CUST0000992313,UM,OF,994105300791656,L,UM,"Full Shop",Grocery,STORE01007,XLS,W01,5132,200707,20070409,20070415,20070412,13
994105200795847,CUST0000992313,5058,STORE01007,0.7994080650317895,13,16,23.51,CUST0000992313,UM,OF,994105200795847,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,5058,200706,20070402,20070408,20070405,17
994105000803977,CUST0000992313,4898,STORE01007,1.0374916331657278,12,19,32.80,CUST0000992313,UM,OF,994105000803977,L,MM,"Top Up",Fresh,STORE01007,XLS,W01,4898,200704,20070319,20070325,20070324,20
994105000803978,CUST0000992313,4856,STORE02255,0,1,1,2.98,CUST0000992313,UM,OF,994105000803978,S,UM,"Small Shop",Fresh,STORE02255,MS,W02,4856,200704,20070319,20070325,20070321,16
994105000803979,CUST0000992313,4861,STORE01007,3.22076595444831,15,36,39.05,CUST0000992313,UM,OF,994105000803979,L,MM,"Top Up",Mixed,STORE01007,XLS,W01,4861,200704,20070319,20070325,20070320,19
994110300792858,CUST0000992313,10018,STORE01007,1.247219128924647,9,15,23.83,CUST0000992313,UM,OF,994110300792858,L,UM,"Top Up",Fresh,STORE01007,XLS,W01,10018,200805,20080324,20080330,20080324,14
994110300792859,CUST0000992313,10007,STORE01007,2.889468890802275,19,46,73.04,CUST0000992313,UM,OF,994110300792859,L,MM,"Full Shop",Mixed,STORE01007,XLS,W01,10007,200805,20080324,20080330,20080330,13
994110400737409,CUST0000992313,10099,STORE01007,0,9,9,20.16,CUST0000992313,UM,OF,994110400737409,M,UM,"Top Up",Mixed,STORE01007,XLS,W01,10099,200806,20080331,20080406,20080401,15
994110600812700,CUST0000992313,10368,STORE01007,1.057245759055728,22,41,98.53,CUST0000992313,UM,OF,994110600812700,L,MM,"Full Shop",Mixed,STORE01007,XLS,W01,10368,200808,20080414,20080420,20080419,15
994110600812701,CUST0000992313,10359,STORE01007,2.099562636671296,7,13,9.37,CUST0000992313,UM,OF,994110600812701,L,MM,"Small Shop",Fresh,STORE01007,XLS,W01,10359,200808,20080414,20080420,20080420,18
994110600812702,CUST0000992313,10377,STORE01007,1,4,8,7.30,CUST0000992313,UM,OF,994110600812702,M,UM,"Small Shop",Grocery,STORE01007,XLS,W01,10377,200808,20080414,20080420,20080415,19
994110200788186,CUST0000992313,9949,STORE01007,3.0438965360946453,7,20,22.70,CUST0000992313,UM,OF,994110200788186,L,LA,"Top Up",Fresh,STORE01007,XLS,W01,9949,200804,20080317,20080323,20080323,13
