cust_id,,date,diff
CUST0000097065,49903,2006-05-30,
CUST0000097065,49901,2006-06-01,2.0
CUST0000097065,49902,2006-06-03,2.0
CUST0000097065,49909,2006-06-07,4.0
CUST0000097065,49900,2006-06-23,16.0
CUST0000097065,49904,2006-06-28,5.0
CUST0000097065,49905,2006-07-01,3.0
CUST0000097065,49899,2006-07-09,8.0
CUST0000097065,49907,2006-07-12,3.0
CUST0000097065,49908,2006-07-15,3.0
CUST0000097065,49906,2006-07-16,1.0
CUST0000097065,49869,2006-07-17,1.0
CUST0000097065,49870,2006-07-18,1.0
CUST0000097065,49871,2006-07-22,4.0
CUST0000097065,49868,2006-07-23,1.0
CUST0000097065,49863,2006-07-25,2.0
CUST0000097065,49867,2006-08-09,15.0
CUST0000097065,49864,2006-08-30,21.0
CUST0000097065,49866,2006-08-30,0.0
CUST0000097065,49865,2006-09-03,4.0
CUST0000097065,49848,2006-09-10,7.0
CUST0000097065,49850,2006-09-16,6.0
CUST0000097065,49849,2006-09-17,1.0
CUST0000097065,49845,2006-09-18,1.0
CUST0000097065,49846,2006-09-24,6.0
CUST0000097065,49842,2006-09-29,5.0
CUST0000097065,49844,2006-10-02,3.0
CUST0000097065,49843,2006-10-08,6.0
CUST0000097065,49847,2006-10-19,11.0
CUST0000097065,49878,2006-10-26,7.0
CUST0000097065,49877,2006-10-29,3.0
CUST0000097065,49872,2006-11-05,7.0
CUST0000097065,49883,2006-11-06,1.0
CUST0000097065,49884,2006-11-06,0.0
CUST0000097065,49885,2006-11-08,2.0
CUST0000097065,49882,2006-11-10,2.0
CUST0000097065,49876,2006-11-18,8.0
CUST0000097065,49881,2006-11-21,3.0
CUST0000097065,49879,2006-11-25,4.0
CUST0000097065,49880,2006-11-26,1.0
CUST0000097065,49873,2006-12-02,6.0
CUST0000097065,49875,2006-12-02,0.0
CUST0000097065,49874,2006-12-03,1.0
CUST0000097065,49886,2006-12-10,7.0
CUST0000097065,49888,2006-12-12,2.0
CUST0000097065,49889,2006-12-14,2.0
CUST0000097065,49887,2006-12-17,3.0
CUST0000097065,49893,2006-12-19,2.0
CUST0000097065,49892,2006-12-23,4.0
CUST0000097065,49890,2006-12-24,1.0
CUST0000097065,49891,2006-12-24,0.0
CUST0000097065,49896,2007-01-04,11.0
CUST0000097065,49897,2007-01-05,1.0
CUST0000097065,49898,2007-01-08,3.0
CUST0000097065,49895,2007-01-25,17.0
CUST0000097065,49894,2007-01-28,3.0
CUST0000097065,49851,2007-01-29,1.0
CUST0000097065,49852,2007-02-02,4.0
CUST0000097065,49862,2007-02-05,3.0
CUST0000097065,49861,2007-02-11,6.0
CUST0000097065,49857,2007-02-13,2.0
CUST0000097065,49858,2007-02-18,5.0
CUST0000097065,49860,2007-02-20,2.0
CUST0000097065,49859,2007-02-25,5.0
CUST0000097065,49855,2007-02-26,1.0
CUST0000097065,49856,2007-02-28,2.0
CUST0000097065,49853,2007-03-06,6.0
CUST0000097065,49854,2007-03-07,1.0
CUST0000097065,49974,2007-03-14,7.0
CUST0000097065,49973,2007-03-24,10.0
CUST0000097065,49972,2007-03-24,0.0
CUST0000097065,49964,2007-03-27,3.0
CUST0000097065,49962,2007-03-29,2.0
CUST0000097065,49961,2007-03-30,1.0
CUST0000097065,49963,2007-03-31,1.0
CUST0000097065,49965,2007-04-02,2.0
CUST0000097065,49967,2007-04-04,2.0
CUST0000097065,49966,2007-04-08,4.0
CUST0000097065,49975,2007-04-10,2.0
CUST0000097065,49976,2007-04-10,0.0
CUST0000097065,49977,2007-04-18,8.0
CUST0000097065,49969,2007-04-23,5.0
CUST0000097065,49968,2007-04-25,2.0
CUST0000097065,49971,2007-04-29,4.0
CUST0000097065,49970,2007-04-29,0.0
CUST0000097065,49997,2007-06-20,52.0
CUST0000097065,49998,2007-06-20,0.0
CUST0000097065,49999,2007-06-24,4.0
CUST0000097065,49933,2007-09-17,85.0
CUST0000097065,49932,2007-09-18,1.0
CUST0000097065,49931,2007-09-20,2.0
CUST0000097065,49936,2007-09-29,9.0
CUST0000097065,49937,2007-09-30,1.0
CUST0000097065,49944,2007-10-03,3.0
CUST0000097065,49945,2007-10-03,0.0
CUST0000097065,49946,2007-10-04,1.0
CUST0000097065,49929,2007-10-12,8.0
CUST0000097065,49930,2007-10-12,0.0
CUST0000097065,49938,2007-10-15,3.0
CUST0000097065,49939,2007-10-19,4.0
CUST0000097065,49940,2007-10-23,4.0
CUST0000097065,49943,2007-10-23,0.0
CUST0000097065,49942,2007-10-24,1.0
CUST0000097065,49941,2007-10-26,2.0
CUST0000097065,49934,2007-10-30,4.0
CUST0000097065,49935,2007-10-31,1.0
CUST0000097065,49957,2007-11-08,8.0
CUST0000097065,49952,2007-11-12,4.0
CUST0000097065,49953,2007-11-13,1.0
CUST0000097065,49951,2007-11-13,0.0
CUST0000097065,49958,2007-11-23,10.0
CUST0000097065,49955,2007-11-29,6.0
CUST0000097065,49954,2007-12-01,2.0
CUST0000097065,49956,2007-12-01,0.0
CUST0000097065,49960,2007-12-04,3.0
CUST0000097065,49959,2007-12-09,5.0
CUST0000097065,49950,2007-12-11,2.0
CUST0000097065,49948,2007-12-14,3.0
CUST0000097065,49947,2007-12-15,1.0
CUST0000097065,49949,2007-12-15,0.0
CUST0000097065,49928,2008-03-24,100.0
CUST0000097065,49926,2008-03-28,4.0
CUST0000097065,49927,2008-03-30,2.0
CUST0000097065,49915,2008-04-04,5.0
CUST0000097065,49923,2008-04-07,3.0
CUST0000097065,49924,2008-04-07,0.0
CUST0000097065,49925,2008-04-12,5.0
CUST0000097065,49917,2008-04-14,2.0
CUST0000097065,49918,2008-04-18,4.0
